author,Hauptgenre_Avg,GenreWechsel_Avg,Differenz,Wechsel_besser,total_books,switch_books,main_genre_books,main_genre
B. Alan Wallace,4.13,3.91,-0.21999999999999975,False,4,1,3,Religion
Bailey Bradford,3.853888888888889,3.55,-0.3038888888888893,False,19,1,18,Romance
Barbara Delinsky,3.7800000000000002,3.6399999999999997,-0.14000000000000057,False,4,2,2,Fiction
Barbara Dunlop,3.6242857142857146,3.73,0.10571428571428543,True,8,1,7,Romance
Barbara G. Walker,4.51,3.9400000000000004,-0.5699999999999994,False,8,2,6,Crafts
Barbara Hannay,3.776666666666667,3.56,-0.21666666666666679,False,4,1,3,Romance
Barbara Kingsolver,3.9133333333333336,4.035,0.12166666666666659,True,5,2,3,Fiction
Barbara Metzger,3.722142857142857,3.6450000000000005,-0.07714285714285651,False,24,10,14,Romance
Barbara Michaels,3.752173913043478,3.73,-0.022173913043478155,False,24,1,23,Mystery
Barry  Lopez,4.15,4.12,-0.03000000000000025,False,5,3,2,Environment
Bathroom Readers' Institute,4.177857142857143,3.9066666666666663,-0.2711904761904771,False,17,3,14,Nonfiction
Bead & Button Magazine,4.449999999999999,4.166666666666667,-0.2833333333333323,False,5,3,2,Art
Bebe Moore Campbell,4.055,4.08,0.025000000000000355,True,5,1,4,Fiction
Ben Counter,3.703333333333333,3.89,0.18666666666666698,True,4,1,3,40k
Ben Mezrich,3.5500000000000003,3.68,0.1299999999999999,True,4,1,3,Nonfiction
Ben Okri,3.77,3.668,-0.10199999999999987,False,8,5,3,Fiction
Ben Witherington Iii,4.033333333333333,3.9800000000000004,-0.05333333333333279,False,5,2,3,Religion
Benedict Xvi,4.438,4.42,-0.017999999999999794,False,7,2,5,Christianity
Berkeley Breathed,4.32,4.390000000000001,0.07000000000000028,True,10,2,8,Sequential Art
Bernard Werber,3.9866666666666664,3.9,-0.08666666666666645,False,7,4,3,Science Fiction
Bertrand Russell,3.9766666666666666,3.74,-0.23666666666666636,False,5,2,3,Philosophy
Beth Ciotta,3.9,3.59,-0.31000000000000005,False,4,2,2,Romance
Beth Cornelison,3.806,3.79,-0.016000000000000014,False,6,1,5,Romance
Beth Kery,3.8533333333333335,3.9275,0.07416666666666671,True,10,4,6,Romance
Beth Wiseman,4.368,4.12,-0.24800000000000022,False,6,1,5,Amish
Better Homes And Gardens,3.6975,3.782,0.08450000000000024,True,9,5,4,Crafts
Betty Ren Wright,3.8,3.725,-0.07499999999999973,False,6,4,2,Horror
Beverly Lewis,4.227,4.128333333333333,-0.09866666666666735,False,16,6,10,Amish
Bharati Mukherjee,3.33,3.58,0.25,True,4,1,3,Fiction
Bill Mccay,3.76,3.65,-0.10999999999999988,False,4,2,2,Science Fiction
Bill Peet,4.236,4.25,0.014000000000000234,True,6,1,5,Childrens
Bill Yenne,3.46,4.105,0.6450000000000005,True,6,4,2,History
Billy Graham,4.2299999999999995,4.29,0.0600000000000005,True,4,1,3,Christian
Bobby Jamieson,4.18,3.86,-0.31999999999999984,False,4,1,3,Religion
"Bodie Thoene,Brock Thoene",4.33,4.33,0.0,False,6,2,4,Historical
Bonnie Vanak,3.6659999999999995,3.7,0.034000000000000696,True,6,1,5,Romance
Boyd K. Packer,4.359999999999999,4.3149999999999995,-0.04499999999999993,False,4,2,2,Religion
"Brant Parker,Johnny Hart",3.8033333333333332,3.88,0.07666666666666666,True,4,1,3,Humor
Brenda Jackson,4.334761904761905,4.52,0.18523809523809476,True,22,1,21,Romance
Brenda Minton,4.184,4.19,0.006000000000000227,True,6,1,5,Category Romance
Brett L. Markham,3.82,4.045,0.2250000000000001,True,4,2,2,Gardening
Brian C. Hales,4.41,4.074999999999999,-0.33500000000000085,False,4,2,2,Religion
Brian Evenson,3.9933333333333336,3.91,-0.08333333333333348,False,5,2,3,Horror
Brian L. Weiss,4.27,4.045,-0.22499999999999964,False,4,2,2,Spirituality
Brian M. Fagan,3.783333333333333,3.73,-0.05333333333333323,False,7,1,6,History
Brian Tracy,4.07125,4.0183333333333335,-0.0529166666666665,False,14,6,8,Self Help
Brigid Kemmerer,3.9840000000000004,4.14,0.15599999999999925,True,6,1,5,Young Adult
Bryce Courtenay,4.0625,3.7750000000000004,-0.28749999999999964,False,6,2,4,Fiction
Buchi Emecheta,3.8866666666666667,4.05,0.1633333333333331,True,4,1,3,Fiction
Buket Uzuner,3.6571428571428575,3.325,-0.3321428571428573,False,9,2,7,Asian Literature
Burke Davis,3.965,3.8766666666666665,-0.08833333333333337,False,5,3,2,Military History
C.C. Hunter,4.302,4.08,-0.22199999999999953,False,6,1,5,Young Adult
C.J. Cherryh,4.072857142857143,4.06,-0.012857142857143344,False,8,1,7,Science Fiction
C.J. Michalski,3.6933333333333334,3.31,-0.3833333333333333,False,4,1,3,Sequential Art
C.S. Lewis,4.023333333333333,4.016,-0.007333333333333414,False,8,5,3,Christian
C.W. Anderson,4.203333333333333,4.25,0.046666666666666856,True,4,1,3,Childrens
Cahyadi Takariawan,3.8733333333333335,3.94,0.06666666666666643,True,4,1,3,Islam
Caitlin Crews,3.3533333333333335,3.293333333333333,-0.0600000000000005,False,6,3,3,Category Romance
Camille Paglia,3.7733333333333334,3.9699999999999998,0.19666666666666632,True,5,2,3,Nonfiction
Cara Summers,3.58,3.718,0.1379999999999999,True,13,5,8,Romance
Caridad Piã±Eiro,3.79,3.46,-0.33000000000000007,False,9,5,4,Fantasy
Carl Deuker,4.156666666666666,4.04,-0.11666666666666625,False,4,1,3,Sports
Carl Hiaasen,3.847777777777778,3.81,-0.03777777777777791,False,13,4,9,Fiction
Carla Kelly,3.811818181818182,4.15,0.33818181818181836,True,12,1,11,Romance
Carla Neggers,3.8240000000000003,3.77,-0.05400000000000027,False,7,2,5,Romance
Carlos Castaneda,4.088571428571429,4.055,-0.03357142857142925,False,9,2,7,Spirituality
Carlos Fuentes,3.6366666666666667,3.19,-0.44666666666666677,False,5,2,3,Fiction
Carol Finch,3.8,3.77,-0.029999999999999805,False,4,2,2,Historical
Carol Marinelli,3.531111111111111,3.4875,-0.04361111111111127,False,13,4,9,Category Romance
Carol Matas,3.953333333333333,4.12,0.16666666666666696,True,4,1,3,Historical
Carole Mortimer,3.5119999999999996,3.438333333333333,-0.07366666666666655,False,16,6,10,Romance
Carolly Erickson,3.5675,3.87,0.3025000000000002,True,5,1,4,Historical
Carolyne Aarsen,4.09,4.010000000000001,-0.07999999999999918,False,6,3,3,Category Romance
Carrie Turansky,3.95,3.925,-0.025000000000000355,False,4,2,2,Category Romance
Carry Slee,3.4333333333333336,3.415,-0.018333333333333535,False,5,2,3,Childrens
Cassandra Eason,3.9349999999999996,4.1850000000000005,0.2500000000000009,True,4,2,2,Occult
Cassandra Rose Clarke,3.6966666666666668,3.8,0.10333333333333306,True,4,1,3,Fantasy
Cate Culpepper,3.983333333333333,3.96,-0.023333333333332984,False,4,1,3,Fantasy
Catherine Bybee,3.9233333333333333,4.245,0.32166666666666677,True,5,2,3,Romance
Catherine George,2.76,3.06,0.30000000000000027,True,5,3,2,Harlequin
Catherine Mann,3.9175,3.6633333333333336,-0.25416666666666643,False,11,3,8,Romance
Catherynne M. Valente,3.645,4.05,0.4049999999999998,True,4,2,2,Fantasy
Cathy Kelly,3.8033333333333332,3.33,-0.47333333333333316,False,4,1,3,Womens Fiction
Cathy Williams,3.304,3.2399999999999998,-0.06400000000000006,False,8,3,5,Category Romance
Cathy Yardley,3.56,3.44,-0.1200000000000001,False,6,3,3,Romance
Cecelia Ahern,3.86,3.855,-0.004999999999999893,False,4,2,2,Womens Fiction
Cecilia Tan,3.71,3.9450000000000003,0.23500000000000032,True,4,2,2,Fantasy
Cesare Pavese,3.465,3.8766666666666665,0.4116666666666666,True,5,3,2,European Literature
Chaim Potok,3.9575,3.96,0.0024999999999999467,True,9,1,8,Fiction
Chantelle Shaw,3.5575,3.21,-0.34750000000000014,False,5,1,4,Category Romance
Charlaine Harris,3.8200000000000003,3.8957142857142855,0.07571428571428518,True,17,7,10,Mystery
Charlene Sands,3.6285714285714286,3.74,0.11142857142857165,True,9,2,7,Romance
Charles  Williams,3.875,3.885,0.009999999999999787,True,4,2,2,Fantasy
Charles Baxter,3.3049999999999997,4.08,0.7750000000000004,True,4,2,2,Fiction
Charles Gilman,3.93,3.885,-0.04500000000000037,False,4,2,2,Fantasy
Charles Haddon Spurgeon,4.3100000000000005,4.58,0.2699999999999996,True,7,5,2,Prayer
Charles M. Schulz,4.139230769230769,4.183333333333334,0.0441025641025643,True,19,6,13,Sequential Art
Charles Todd,3.91,3.71,-0.20000000000000018,False,7,1,6,Mystery
Charles W. Leadbeater,3.8033333333333332,3.83,0.02666666666666684,True,5,2,3,Esoterica
Charlie Richards,3.893333333333333,3.85,-0.043333333333333,False,19,1,18,Romance
Charlotte Lamb,3.2142857142857144,3.272222222222222,0.05793650793650773,True,16,9,7,Romance
Charlotte Mistry,3.203333333333333,3.17,-0.033333333333333215,False,4,1,3,Romance
Charlotte Stein,3.6133333333333333,3.5400000000000005,-0.0733333333333328,False,6,3,3,Adult Fiction
Chenjerai Hove,3.665,3.335,-0.33000000000000007,False,4,2,2,Cultural
"Cheri Huber,June Shiver",4.234999999999999,4.23,-0.004999999999999005,False,4,2,2,Self Help
Cherrã­E L. Moraga,4.23,4.135,-0.09500000000000064,False,4,2,2,Poetry
Cheryl Reavis,3.7533333333333334,3.75,-0.0033333333333334103,False,5,2,3,Romance
Cheryl St. John,3.8800000000000003,3.8766666666666665,-0.0033333333333338544,False,6,3,3,Romance
Chetan Bhagat,3.013333333333333,3.27,0.2566666666666668,True,4,1,3,Fiction
Chieko N. Okazaki,4.263333333333333,4.05,-0.21333333333333293,False,4,1,3,Religion
Chloe Neill,4.18,3.78,-0.3999999999999999,False,5,1,4,Fantasy
Chris Abani,4.14,3.64,-0.49999999999999956,False,4,1,3,Poetry
